,r1,v
0,0.61,0.38658
1,0.71,0.24077
2,0.81,0.14686
3,0.91,0.08596
4,1.01,0.04686
5,1.11,0.02257
6,1.21,0.00854
7,1.31,0.00172
8,1.41,1e-05
9,1.51,0.00193
10,1.61,0.00641
11,1.71,0.01267
12,1.81,0.02016
13,1.91,0.02843
14,2.01,0.03718
15,2.11,0.04616
16,2.21,0.05519
17,2.31,0.06412
18,2.41,0.07286
19,2.51,0.08131
20,2.61,0.08943
21,2.71,0.09715
22,2.81,0.10446
23,2.91,0.11132
24,3.01,0.11773
25,3.11,0.12368
26,3.21,0.12918
27,3.31,0.13422
28,3.41,0.13882
29,3.51,0.143
30,3.61,0.14678
31,3.71,0.15018
32,3.81,0.15321
33,3.91,0.15592
34,4.01,0.15832
35,4.11,0.16044
36,4.21,0.1623
37,4.31,0.16394
38,4.41,0.16537
39,4.51,0.16661
40,4.61,0.1677
41,4.71,0.16864
42,4.81,0.16945
43,4.91,0.17016
44,5.01,0.17076
45,5.11,0.17129
46,5.21,0.17174
47,5.31,0.17213
48,5.41,0.17246
49,5.51,0.17275
50,5.61,0.17299
51,5.71,0.1732
52,5.81,0.17338
53,5.91,0.17354
54,6.01,0.17367
55,6.11,0.17379
56,6.21,0.17388
57,6.31,0.17397
58,6.41,0.17404
59,6.51,0.1741
60,6.61,0.17415
61,6.71,0.1742
62,6.81,0.17424
63,6.91,0.17427
64,7.01,0.1743
65,7.11,0.17433
66,7.21,0.17435
67,7.31,0.17437
68,7.41,0.17438
69,7.51,0.17439
70,7.61,0.17441
71,7.71,0.17442
72,7.81,0.17443
73,7.91,0.17443
74,8.01,0.17444
75,8.11,0.17445
76,8.21,0.17445
77,8.31,0.17446
78,8.41,0.17446
79,8.51,0.17446
80,8.61,0.17447
81,8.71,0.17447
82,8.81,0.17447
83,8.91,0.17447
84,9.01,0.17448
85,9.11,0.17448
86,9.21,0.17448
87,9.31,0.17448
88,9.41,0.17448
89,9.51,0.17448
90,9.61,0.17448
91,9.71,0.17448
92,9.81,0.17449
93,9.91,0.17449
94,10.01,0.17449
95,10.11,0.17449
96,10.21,0.17449
97,10.31,0.17449
98,10.41,0.17449
99,10.51,0.17449
