,r1,r2,v
0,0.61,0.61,1.00323
1,0.61,0.71,0.84653
2,0.61,0.81,0.74021
3,0.61,0.91,0.66503
4,0.61,1.01,0.61042
5,0.61,1.11,0.56982
6,0.61,1.21,0.53868
7,0.61,1.31,0.51416
8,0.61,1.41,0.49445
9,0.61,1.51,0.47832
10,0.61,1.61,0.46495
11,0.61,1.71,0.45375
12,0.61,1.81,0.44429
13,0.61,1.91,0.43626
14,0.61,2.01,0.42938
15,0.61,2.11,0.42345
16,0.61,2.21,0.41832
17,0.61,2.31,0.41383
18,0.61,2.41,0.4099
19,0.61,2.51,0.40644
20,0.61,2.61,0.40341
21,0.61,2.71,0.40077
22,0.61,2.81,0.39848
23,0.61,2.91,0.39651
24,0.61,3.01,0.39486
25,0.61,3.11,0.39347
26,0.61,3.21,0.39233
27,0.61,3.31,0.3914
28,0.61,3.41,0.39065
29,0.61,3.51,0.39004
30,0.61,3.61,0.38954
31,0.61,3.71,0.38912
32,0.61,3.81,0.38877
33,0.61,3.91,0.38846
34,0.61,4.01,0.38819
35,0.61,4.11,0.38794
36,0.61,4.21,0.38772
37,0.61,4.31,0.38752
38,0.61,4.41,0.38734
39,0.61,4.51,0.38719
40,0.61,4.61,0.38705
41,0.61,4.71,0.38694
42,0.61,4.81,0.38684
43,0.61,4.91,0.38677
44,0.61,5.01,0.3867
45,0.61,5.11,0.38665
46,0.61,5.21,0.38662
47,0.61,5.31,0.38659
48,0.61,5.41,0.38656
49,0.61,5.51,0.38655
50,0.61,5.61,0.38653
51,0.61,5.71,0.38652
52,0.61,5.81,0.38652
53,0.61,5.91,0.38651
54,0.61,6.01,0.38651
55,0.61,6.11,0.38651
56,0.61,6.21,0.38651
57,0.61,6.31,0.38651
58,0.61,6.41,0.38652
59,0.61,6.51,0.38652
60,0.61,6.61,0.38652
61,0.61,6.71,0.38653
62,0.61,6.81,0.38653
63,0.61,6.91,0.38653
64,0.61,7.01,0.38654
65,0.61,7.11,0.38654
66,0.61,7.21,0.38654
67,0.61,7.31,0.38654
68,0.61,7.41,0.38655
69,0.61,7.51,0.38655
70,0.61,7.61,0.38655
71,0.61,7.71,0.38655
72,0.61,7.81,0.38656
73,0.61,7.91,0.38656
74,0.61,8.01,0.38656
75,0.61,8.11,0.38656
76,0.61,8.21,0.38656
77,0.61,8.31,0.38657
78,0.61,8.41,0.38657
79,0.61,8.51,0.38657
80,0.61,8.61,0.38657
81,0.61,8.71,0.38657
82,0.61,8.81,0.38657
83,0.61,8.91,0.38657
84,0.61,9.01,0.38657
85,0.61,9.11,0.38657
86,0.61,9.21,0.38657
87,0.61,9.31,0.38658
88,0.61,9.41,0.38658
89,0.61,9.51,0.38658
90,0.61,9.61,0.38658
91,0.61,9.71,0.38658
92,0.61,9.81,0.38658
93,0.61,9.91,0.38658
