,Unnamed: 0,r1,r2,r3,v
127900,127900,2.31,8.71,6.40276,0.06406
82216,82216,1.71,5.01,3.30206,0.01431
440358,440358,6.71,7.71,1.00519,0.04829
302658,302658,4.81,3.61,1.20288,0.01148
53467,53467,1.31,4.71,3.40055,0.00454
622645,622645,9.31,1.71,7.60129,0.01264
71422,71422,1.51,9.31,7.80166,0.0019
504637,504637,7.61,6.61,1.01854,0.04421
613393,613393,9.11,8.11,1.06764,0.03136
346748,346748,5.41,6.41,1.01094,0.04654
339565,339565,5.31,6.31,1.01928,0.04406
279423,279423,4.51,1.21,3.30156,0.01238
394009,394009,6.11,2.11,4.00037,0.04617
128147,128147,2.31,9.01,6.70323,0.06407
583444,583444,8.71,6.61,2.11587,0.04663
28301,28301,0.91,8.91,8.00091,0.08593
67030,67030,1.51,3.81,2.30278,0.01127
261232,261232,4.21,6.31,2.1047,0.04566
572240,572240,8.61,1.61,7.00035,0.00635
493890,493890,7.51,2.11,5.40122,0.04606
514420,514420,7.81,0.91,6.9011,0.0859
714994,714994,10.51,8.11,2.44546,0.07587
28634,28634,0.91,9.31,8.40122,0.08594
457289,457289,7.01,1.01,6.00041,0.04677
489357,489357,7.41,5.41,2.00249,0.03641
145446,145446,2.61,4.01,1.4007,0.00835
33912,33912,1.01,6.91,5.90137,0.04678
339962,339962,5.31,6.81,1.51269,0.00193
590374,590374,8.81,6.31,2.50992,0.08125
428887,428887,6.61,1.11,5.50158,0.02251
351165,351165,5.51,1.91,3.6017,0.02891
368510,368510,5.71,6.91,1.21126,0.00833
131059,131059,2.41,3.81,1.40137,0.01062
369405,369405,5.71,8.01,2.31152,0.06417
281136,281136,4.51,3.41,1.10249,0.02758
475778,475778,7.21,6.31,0.90308,0.08929
598323,598323,8.91,7.31,1.60351,0.00601
544326,544326,8.21,2.51,5.70272,0.08123
121528,121528,2.21,9.71,7.50031,0.05516
100852,100852,1.91,10.51,8.60166,0.02842
615495,615495,9.21,1.81,7.40034,0.02012
685585,685585,10.11,8.31,1.81077,0.0202
432461,432461,6.61,5.61,1.02263,0.04303
157056,157056,2.71,9.61,6.90067,0.09711
353015,353015,5.51,4.21,1.31372,0.00211
693680,693680,10.21,9.31,0.9648,0.06234
678140,678140,10.01,8.01,2.01975,0.03802
180190,180190,3.11,1.81,1.30149,0.02945
414742,414742,6.41,1.31,5.10033,0.00171
607119,607119,9.01,10.31,1.3234,0.00122
592457,592457,8.81,9.91,1.16608,0.01364
422750,422750,6.51,2.41,4.10093,0.07269
534426,534426,8.01,9.11,1.12926,0.01915
332356,332356,5.21,6.21,1.01386,0.0457
289087,289087,4.61,5.51,0.91725,0.08276
453169,453169,6.91,4.81,2.10137,0.04528
340439,340439,5.31,7.41,2.10895,0.04596
688101,688101,10.21,2.31,7.90325,0.0641
685803,685803,10.11,8.51,1.67081,0.01003
556402,556402,8.31,9.71,1.42642,9e-05
64997,64997,1.41,10.21,8.80073,-0.0
489902,489902,7.41,6.01,1.43889,0.00015
444268,444268,6.81,2.51,4.30513,0.08115
414731,414731,6.41,1.31,5.10017,0.00171
240102,240102,3.91,6.61,2.70232,0.09599
295410,295410,4.71,3.41,1.30829,0.00459
477707,477707,7.21,9.71,2.52829,0.08279
475263,475263,7.21,5.61,1.61507,0.00658
106859,106859,2.01,9.11,7.10221,0.03714
44707,44707,1.21,2.61,1.40234,0.07183
615860,615860,9.21,2.21,7.00243,0.05514
486073,486073,7.41,1.31,6.10015,0.00163
197014,197014,3.31,6.11,2.80543,0.09972
556294,556294,8.31,9.61,1.30761,0.00179
98255,98255,1.91,7.31,5.40044,0.02832
643663,643663,9.61,1.01,8.60022,0.04684
352243,352243,5.51,3.31,2.20061,0.05394
547121,547121,8.21,6.01,2.21463,0.05552
493455,493455,7.51,1.61,5.90011,0.00631
345980,345980,5.41,4.31,1.11848,0.02163
565624,565624,8.51,2.31,6.20045,0.06405
114154,114154,2.11,9.31,7.20331,0.04612
35098,35098,1.01,8.41,7.40096,0.04682
543800,543800,8.21,1.91,6.30027,0.02836
446212,446212,6.81,5.01,1.80438,0.01963
24415,24415,0.91,4.11,3.2002,0.09132
106121,106121,2.01,8.21,6.20136,0.0371
318362,318362,5.01,6.51,1.51145,0.00194
379636,379636,5.91,1.91,4.00122,0.02859
350859,350859,5.51,1.51,4.00178,0.00249
146907,146907,2.61,5.81,3.20144,0.0856
651023,651023,9.71,1.21,8.50016,0.00852
367173,367173,5.71,4.11,1.61071,0.00679
548810,548810,8.21,9.21,1.01129,0.04644
223322,223322,3.71,2.31,1.40323,0.0119
561892,561892,8.41,6.61,1.80334,0.01957
283089,283089,4.51,6.91,2.40848,0.07261
74527,74527,1.61,4.31,2.70159,0.01127
572391,572391,8.61,1.81,6.80023,0.0201
415037,415037,6.41,1.61,4.80255,0.0064
499234,499234,7.51,9.81,2.33459,0.06626
133181,133181,2.41,6.41,4.00348,0.07266
694384,694384,10.31,1.01,9.30091,0.04685
45193,45193,1.21,3.21,2.00231,0.03304
672833,672833,10.01,1.41,8.60025,-1e-05
150106,150106,2.61,9.81,7.20104,0.08939
39728,39728,1.11,5.31,4.20089,0.02332
148527,148527,2.61,7.81,5.20242,0.08933
620178,620178,9.21,7.61,1.6344,0.00776
126058,126058,2.31,6.41,4.10302,0.06401
138041,138041,2.51,3.61,1.10421,0.03762
83459,83459,1.71,6.61,4.90048,0.01262
121540,121540,2.21,9.71,7.50063,0.05516
60543,60543,1.41,4.61,3.20192,0.00349
493461,493461,7.51,1.61,5.90019,0.00631
494204,494204,7.51,2.51,5.00125,0.0812
216543,216543,3.61,2.71,0.91023,0.09801
225640,225640,3.71,6.31,2.60445,0.08818
591416,591416,8.81,7.61,1.22646,0.00695
138738,138738,2.51,4.51,2.00113,0.03368
55805,55805,1.31,7.61,6.30092,0.00164
167118,167118,2.91,4.31,1.41177,0.00556
554439,554439,8.31,6.21,2.11295,0.04635
504214,504214,7.61,6.11,1.50359,0.00163
554420,554420,8.31,6.21,2.10625,0.04575
615386,615386,9.21,1.61,7.60189,0.00637
167478,167478,2.91,4.81,1.90341,0.02898
329176,329176,5.21,1.11,4.10112,0.0235
527479,527479,7.91,9.41,1.50656,0.00179
134608,134608,2.41,8.21,5.80217,0.07278
685366,685366,10.11,8.01,2.12029,0.04707
367253,367253,5.71,4.21,1.51169,0.00233
680754,680754,10.11,2.21,7.90315,0.05516
598255,598255,8.91,7.21,1.70711,0.01243
671127,671127,9.91,8.31,1.6048,0.0061
38019,38019,1.11,3.21,2.10036,0.04696
557083,557083,8.31,10.51,2.2528,0.05901
337021,337021,5.31,2.01,3.30291,0.0376
208190,208190,3.51,1.21,2.30064,0.02492
92666,92666,1.81,9.21,7.40066,0.02012
85298,85298,1.71,8.91,7.20042,0.01263
417556,417556,6.41,4.81,1.60715,0.00624
275492,275492,4.41,6.31,1.91041,0.02847
302526,302526,4.81,3.41,1.407,0.00242
537330,537330,8.11,2.71,5.40367,0.09706
93497,93497,1.81,10.21,8.40179,0.02014
75004,75004,1.61,4.91,3.30135,0.00846
336567,336567,5.31,1.51,3.80021,0.00282
686988,686988,10.21,0.91,9.30126,0.08595
117333,117333,2.21,4.41,2.20324,0.03684
222530,222530,3.71,1.31,2.40136,0.01423
280488,280488,4.51,2.61,1.90067,0.028
701818,701818,10.41,1.01,9.40145,0.04685
699929,699929,10.31,8.01,2.3024,0.06343
43149,43149,1.11,9.61,8.50041,0.02255
145934,145934,2.61,4.61,2.00096,0.03476
237609,237609,3.91,2.41,1.50073,0.01022
196664,196664,3.31,5.71,2.4021,0.07076
125540,125540,2.31,5.81,3.50085,0.06365
374158,374158,5.81,3.91,1.9157,0.02914
153355,153355,2.71,4.91,2.20748,0.05036
511681,511681,7.71,6.51,1.20333,0.00915
352416,352416,5.51,3.51,2.00173,0.03679
95668,95668,1.91,4.01,2.10388,0.02246
708335,708335,10.41,9.21,1.23164,0.00652
601560,601560,9.01,2.31,6.7026,0.06407
513467,513467,7.71,9.71,2.04587,0.04035
565381,565381,8.51,2.01,6.50031,0.03712
643852,643852,9.61,1.21,8.40085,0.00852
141907,141907,2.51,8.41,5.90372,0.08124
367626,367626,5.71,4.71,1.0078,0.04777
24143,24143,0.91,3.71,2.80114,0.09645
438789,438789,6.71,4.61,2.10934,0.04602
569895,569895,8.51,7.61,0.93845,0.07295
268841,268841,4.31,6.91,2.60585,0.0889
252120,252120,4.11,2.71,1.40393,0.00734
510511,510511,7.71,5.01,2.70573,0.09672
583359,583359,8.71,6.51,2.21272,0.05537
42237,42237,1.11,8.41,7.30165,0.02252
397823,397823,6.11,7.91,1.82524,0.02129
81622,81622,1.71,4.31,2.60069,0.01641
193979,193979,3.31,1.21,2.10163,0.02992
73896,73896,1.61,3.51,1.90236,0.01483
467385,467385,7.11,4.71,2.40442,0.07226
268025,268025,4.31,5.91,1.60443,0.0063
714831,714831,10.51,7.91,2.63852,0.09165
311417,311417,4.91,6.71,1.81485,0.02047
389107,389107,6.01,4.81,1.22479,0.00726
90741,90741,1.81,6.81,5.00057,0.02007
344779,344779,5.41,2.81,2.60501,0.07763
329242,329242,5.21,1.21,4.00083,0.00953
558184,558184,8.41,1.91,6.50217,0.02837
439390,439390,6.71,5.41,1.30324,0.00193
84057,84057,1.71,7.31,5.60182,0.01257
322271,322271,5.11,1.41,3.7007,0.00134
614476,614476,9.11,10.51,1.42717,0.0001
672672,672672,10.01,1.21,8.80019,0.00852
448106,448106,6.81,8.41,1.63273,0.00764
75380,75380,1.61,5.41,3.80051,0.00713
407673,407673,6.31,1.31,5.00192,0.00174
133634,133634,2.41,7.01,4.60147,0.07274
60715,60715,1.41,4.81,3.40247,0.00243
252406,252406,4.11,3.11,1.00119,0.05576
410574,410574,6.31,5.01,1.30365,0.002
114091,114091,2.11,9.31,7.20036,0.04612
172438,172438,3.01,1.01,2.0007,0.07841
365047,365047,5.71,1.51,4.20021,0.00228
268378,268378,4.31,6.31,2.01134,0.03729
591674,591674,8.81,7.91,0.96102,0.06377
204113,204113,3.41,6.11,2.70298,0.09404
42000,42000,1.11,8.21,7.10007,0.02251
527443,527443,7.91,9.31,1.44009,0.00023
598246,598246,8.91,7.21,1.70409,0.01222
322666,322666,5.11,1.91,3.20089,0.02937
149129,149129,2.61,8.61,6.00043,0.08936
316887,316887,5.01,3.61,1.4013,0.00163
44823,44823,1.21,2.81,1.60054,0.05298
490177,490177,7.41,6.41,1.01621,0.0449
64879,64879,1.41,10.01,8.60221,-1e-05
580179,580179,8.71,2.51,6.2031,0.08125
680675,680675,10.11,2.11,8.00303,0.04614
139714,139714,2.51,5.71,3.2018,0.07842
373378,373378,5.81,3.01,2.80124,0.09364
294251,294251,4.71,2.01,2.70046,0.03614
99657,99657,1.91,9.01,7.10197,0.02839
637281,637281,9.51,2.01,7.50135,0.03715
394345,394345,6.11,2.51,3.60119,0.08048
535858,535858,8.11,0.91,7.20034,0.08591
172448,172448,3.01,1.01,2.00097,0.0784
106688,106688,2.01,8.91,6.90165,0.03713
513338,513338,7.71,9.61,1.91133,0.02851
156978,156978,2.71,9.51,6.80075,0.09711
463072,463072,7.01,9.31,2.31178,0.06424
326383,326383,5.11,7.61,2.51468,0.08159
32360,32360,1.01,5.01,4.00063,0.04802
471782,471782,7.21,1.31,5.90014,0.00162
68753,68753,1.51,6.01,4.50078,0.00208
411673,411673,6.31,7.41,1.14532,0.01654
357488,357488,5.61,0.91,4.70069,0.08617
485083,485083,7.31,10.01,2.72143,0.09798
144007,144007,2.61,1.11,1.50019,0.08323
165901,165901,2.91,1.71,1.20373,0.04698
55225,55225,1.31,6.91,5.60045,0.00163
49773,49773,1.21,9.01,7.80021,0.00851
103235,103235,2.01,4.61,2.60148,0.03529
393363,393363,6.11,1.31,4.80012,0.00182
453670,453670,6.91,5.41,1.50724,0.00174
149729,149729,2.61,9.31,6.70237,0.08938
88633,88633,1.81,4.11,2.30384,0.02084
520793,520793,7.81,10.01,2.20283,0.05452
576789,576789,8.61,7.31,1.30417,0.00192
280963,280963,4.51,3.21,1.30081,0.0061
217680,217680,3.61,5.31,1.70062,0.01292
134815,134815,2.41,8.51,6.10057,0.07279
34979,34979,1.01,8.31,7.30024,0.04681
460625,460625,7.01,5.21,1.80189,0.01941
189223,189223,3.21,5.31,2.10207,0.04537
333710,333710,5.21,7.91,2.70525,0.09669
289669,289669,4.61,6.21,1.61935,0.00698
131922,131922,2.41,4.91,2.50032,0.05709
103074,103074,2.01,4.41,2.40148,0.03262
57236,57236,1.31,9.41,8.10066,0.00169
201326,201326,3.41,1.51,1.90162,0.01576
189816,189816,3.21,6.01,2.80546,0.09823
401363,401363,6.21,2.41,3.80029,0.07254
157794,157794,2.71,10.51,7.80146,0.09713
188877,188877,3.21,4.81,1.61242,0.00897
605101,605101,9.01,6.71,2.33511,0.06629
680966,680966,10.11,2.51,7.60176,0.08129
396303,396303,6.11,4.91,1.22343,0.00734
36112,36112,1.01,9.71,8.70042,0.04684
612732,612732,9.11,7.31,1.81945,0.02087
500728,500728,7.61,1.71,5.9012,0.01258
410646,410646,6.31,5.11,1.20232,0.00934
462921,462921,7.01,9.11,2.11706,0.04675
32546,32546,1.01,5.21,4.20127,0.04762
664149,664149,9.81,8.61,1.20514,0.00901
561937,561937,8.41,6.61,1.82248,0.02109
405420,405420,6.21,8.51,2.31962,0.0649
154876,154876,2.71,6.81,4.10569,0.09679
521804,521804,7.91,1.21,6.7011,0.00847
340924,340924,5.31,8.01,2.70886,0.09697
28067,28067,0.91,8.61,7.70106,0.08593
223571,223571,3.71,2.61,1.10608,0.03545
26694,26694,0.91,6.91,6.00079,0.08588
373888,373888,5.81,3.61,2.20605,0.05472
134283,134283,2.41,7.81,5.4019,0.07276
501216,501216,7.61,2.31,5.3023,0.06402
302705,302705,4.81,3.61,1.21428,0.01032
498526,498526,7.51,9.01,1.50275,0.00165
380510,380510,5.91,3.01,2.90211,0.09842
25392,25392,0.91,5.31,4.40041,0.0864
217689,217689,3.61,5.31,1.70131,0.01297
145440,145440,2.61,4.01,1.40041,0.00835
557072,557072,8.31,10.51,2.24183,0.05803
649162,649162,9.61,7.81,1.8531,0.02362
443066,443066,6.81,1.01,5.80147,0.04678
116594,116594,2.21,3.51,1.30239,0.01814
655827,655827,9.71,7.21,2.5042,0.0808
117536,117536,2.21,4.71,2.50074,0.04636
330483,330483,5.21,2.81,2.40045,0.06525
507237,507237,7.71,0.91,6.80051,0.0859
569646,569646,8.51,7.31,1.22062,0.00747
417433,417433,6.41,4.61,1.81777,0.02076
157638,157638,2.71,10.31,7.6017,0.09713
365528,365528,5.71,2.11,3.60036,0.04624
187632,187632,3.21,2.21,1.00264,0.07267
601675,601675,9.01,2.51,6.50052,0.08126
326021,326021,5.11,7.21,2.10406,0.04552
609036,609036,9.11,2.71,6.40112,0.0971
598809,598809,8.91,7.91,1.0093,0.04704
607095,607095,9.01,10.31,1.30616,0.00186
555009,555009,8.31,6.91,1.42893,8e-05
518661,518661,7.81,6.21,1.63265,0.00761
468002,468002,7.11,5.51,1.60211,0.00588
513119,513119,7.71,9.31,1.62745,0.00736
366178,366178,5.71,2.91,2.80118,0.09063
144387,144387,2.61,1.51,1.10372,0.08402
474707,474707,7.21,4.91,2.31034,0.06404
140360,140360,2.51,6.51,4.00202,0.08103
352191,352191,5.51,3.21,2.30275,0.06221
477420,477420,7.21,9.41,2.20645,0.05483
422370,422370,6.51,1.91,4.60143,0.02839
268542,268542,4.31,6.51,2.21175,0.05527
597524,597524,8.91,6.31,2.60202,0.08873
485011,485011,7.31,9.91,2.62687,0.09072
265771,265771,4.31,2.01,2.3005,0.03073
29223,29223,0.91,10.11,9.20025,0.08595
353125,353125,5.51,4.41,1.10191,0.02458
379560,379560,5.91,1.81,4.10129,0.02034
33377,33377,1.01,6.31,5.30023,0.04685
333589,333589,5.21,7.71,2.51742,0.08182
32469,32469,1.01,5.11,4.10137,0.0478
578960,578960,8.71,1.01,7.70058,0.04682
203352,203352,3.41,5.11,1.71187,0.01415
303451,303451,4.81,5.71,0.90404,0.08905
580059,580059,8.71,2.41,6.30073,0.0728
165480,165480,2.91,1.21,1.70103,0.04641
513436,513436,7.71,9.71,2.02097,0.03813
656535,656535,9.71,8.11,1.603,0.006
102527,102527,2.01,3.71,1.7027,0.01548
127581,127581,2.31,8.31,6.00288,0.06405
429547,429547,6.61,2.01,4.60043,0.03712
484304,484304,7.31,9.01,1.74935,0.01546
398235,398235,6.11,8.41,2.32753,0.0656
337083,337083,5.31,2.11,3.20191,0.04603
456003,456003,6.91,9.41,2.50692,0.08102
694503,694503,10.31,1.21,9.10024,0.00852
511451,511451,7.71,6.21,1.50508,0.00168
580290,580290,8.71,2.71,6.00052,0.09708
59670,59670,1.41,3.51,2.10262,0.01487
578098,578098,8.61,9.91,1.35512,0.0004
324360,324360,5.11,4.01,1.10918,0.02386
311848,311848,4.91,7.31,2.40162,0.07203
643627,643627,9.61,0.91,8.70093,0.08594
265819,265819,4.31,2.01,2.30323,0.0308
402944,402944,6.21,4.31,1.91361,0.02877
578481,578481,8.61,10.41,1.82613,0.02143
157432,157432,2.71,10.01,7.30432,0.09712
606832,606832,9.01,9.91,0.98741,0.05418
155222,155222,2.71,7.31,4.60105,0.097
368569,368569,5.71,7.01,1.30357,0.00189
474342,474342,7.21,4.51,2.70104,0.09631
472247,472247,7.21,1.81,5.40269,0.02005
200906,200906,3.41,1.01,2.40042,0.06458
36545,36545,1.01,10.21,9.20111,0.04685
666380,666380,9.91,2.31,7.60258,0.06409
31266,31266,1.01,3.61,2.60142,0.06013
91284,91284,1.81,7.51,5.70019,0.02005
576700,576700,8.61,7.11,1.55079,0.00344
586936,586936,8.81,2.01,6.80125,0.03713
91666,91666,1.81,7.91,6.10238,0.02007
112764,112764,2.11,7.61,5.50164,0.04606
628112,628112,9.31,8.51,0.9123,0.08483
597870,597870,8.91,6.71,2.21009,0.05514
55798,55798,1.31,7.61,6.30073,0.00164
359089,359089,5.61,2.91,2.70395,0.08583
158222,158222,2.81,1.01,1.80146,0.08925
53068,53068,1.31,4.21,2.9006,0.00814
504115,504115,7.61,5.91,1.72918,0.01393
133811,133811,2.41,7.21,4.80251,0.07275
131608,131608,2.41,4.51,2.10056,0.03793
548032,548032,8.21,7.21,1.00327,0.04891
181502,181502,3.11,4.51,1.40923,0.0041
217182,217182,3.61,4.61,1.01526,0.04782
84494,84494,1.71,7.91,6.20035,0.01259
444333,444333,6.81,2.61,4.20391,0.08919
382075,382075,5.91,4.91,1.03534,0.03964
232682,232682,3.81,6.21,2.40521,0.07214
455949,455949,6.91,9.31,2.41799,0.0735
25766,25766,0.91,5.81,4.9001,0.08608
577900,577900,8.61,9.71,1.11746,0.02119
301108,301108,4.81,1.61,3.20257,0.00885
565054,565054,8.51,1.61,6.90013,0.00635
407653,407653,6.31,1.31,5.00118,0.00174
260940,260940,4.21,5.91,1.71282,0.01306
98775,98775,1.91,7.91,6.00195,0.02834
215289,215289,3.61,1.21,2.40021,0.02289
605209,605209,9.01,6.91,2.109,0.04602
497406,497406,7.51,6.51,1.01735,0.04456
453527,453527,6.91,5.21,1.71152,0.01268
561441,561441,8.41,6.01,2.40939,0.07273
105887,105887,2.01,7.91,5.90166,0.03709
535524,535524,8.01,10.51,2.50568,0.08093
458219,458219,7.01,2.21,4.80018,0.05509
41809,41809,1.11,7.91,6.80084,0.0225
316548,316548,5.01,3.11,1.9087,0.02937
124537,124537,2.31,4.51,2.20385,0.04047
358166,358166,5.61,1.81,3.80025,0.02058
62135,62135,1.41,6.61,5.20139,-4e-05
565041,565041,8.51,1.51,7.002,0.00187
153040,153040,2.71,4.61,1.90036,0.0284
395293,395293,6.11,3.71,2.40142,0.07172
448495,448495,6.81,8.91,2.11993,0.047
615040,615040,9.21,1.21,8.00064,0.00851
78525,78525,1.61,9.31,7.70113,0.00637
215104,215104,3.61,0.91,2.70118,0.09824
448860,448860,6.81,9.41,2.6044,0.08894
379029,379029,5.91,1.11,4.80149,0.02274
132232,132232,2.41,5.21,2.80521,0.06579
343881,343881,5.41,1.71,3.70128,0.01339
103127,103127,2.01,4.51,2.50037,0.03411
547336,547336,8.21,6.31,1.90725,0.02812
201991,201991,3.41,2.31,1.10812,0.04128
607829,607829,9.11,1.21,7.90029,0.00851
141384,141384,2.51,7.81,5.30099,0.08122
548012,548012,8.21,7.11,1.14571,0.01651
361635,361635,5.61,7.21,1.61049,0.00633
48240,48240,1.21,7.11,5.90008,0.00844
627053,627053,9.31,7.21,2.12457,0.04744
